lib32-libidn 1.35-1
lib32-libidn11 1.33-1
lib32-libidn2 2.2.0-1
lib32-libindicator-gtk2 12.10.1-7
lib32-libjpeg-turbo 2.0.2-1
lib32-libjpeg6-turbo 1.5.3-1
lib32-libldap 2.4.47-1
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libmikmod 3.3.11.1-3
lib32-libmodplug 0.8.9.0-3
lib32-libnm-glib 1.18.0-1
lib32-libnsl 1.2.0-1
lib32-libogg 1.3.3-3
lib32-libpciaccess 0.15-1
lib32-libpng 1.6.37-1
lib32-libpng12 1.2.59-1
lib32-libpsl 0.21.0-1
lib32-libpulse 12.2-1
lib32-librtmp0 2.4-3
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.28-2
lib32-libssh2 1.8.2-1
lib32-libtasn1 4.13-1
lib32-libthai 0.1.28-1
lib32-libtheora 1.1.1-12
lib32-libtiff 4.0.10-1
lib32-libtiff4 3.9.7-4
lib32-libtirpc 1.1.4-1
lib32-libudev0-shim 1-4
lib32-libunistring 0.9.10-1
lib32-libusb 1.0.22-1
lib32-libva1 1.8.3-3
lib32-libvdpau 1.2-1
lib32-libvorbis 1.3.6-1
lib32-libvpx1.3 1.3.0-2
lib32-libwebp 1.0.3-1
lib32-libwrap 7.6.24-3
lib32-libx11 1.6.8-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.13.1-1
lib32-libxcomposite 0.4.5-1
lib32-libxcursor 1.2.0-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 5.0.3-2
lib32-libxft 2.3.3-1
lib32-libxi 1.7.9-2
lib32-libxinerama 1.1.4-1
lib32-libxml2 2.9.9-2
lib32-libxmu 1.1.3-1
lib32-libxrandr 1.5.2-1
lib32-libxrender 0.9.10-2
lib32-libxshmfence 1.3-1
lib32-libxss 1.2.3-1
lib32-libxt 1.2.0-1
lib32-libxtst 1.2.3-2
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 8.0.0-1
lib32-lm_sensors 3.5.0-2
lib32-lz4 1.9.1-1
lib32-mesa 19.1.2-1
lib32-mpg123 1.25.10-1
lib32-ncurses 6.1-4
lib32-nettle 3.5.1-1
lib32-nspr 4.21-1
lib32-nss 3.45-1
lib32-openal 1.19.1-1
lib32-openssl 1:1.1.1.c-1
lib32-openssl-1.0 1.0.2.s-1
lib32-p11-kit 0.23.16.1-1
lib32-pango 1:1.43.0-2
lib32-pcre 8.43-1
lib32-pixman 0.38.4-1
lib32-readline 8.0.0-1
lib32-sdl 1.2.15-7
lib32-sdl2 2.0.9-1
lib32-sdl2_image 2.0.4-1
lib32-sdl2_mixer 2.0.4-1
lib32-sdl2_ttf 2.0.15-1
lib32-sdl_image 1.2.12-6
lib32-sdl_mixer 1.2.12-3
lib32-sdl_ttf 2.0.11-5
lib32-smpeg 0.4.5-3
lib32-sqlite 3.28.0-1
lib32-systemd 242.32-1
lib32-tdb 1.3.18-1
lib32-util-linux 2.34-1
lib32-wayland 1.17.0-1
lib32-xz 5.2.4-1
lib32-zlib 1.2.11-2
lib32-zstd 1.4.0-1
libabw 0.1.2-1
libaio 0.3.112-1
libao 1.2.2-2
libappindicator-gtk2 12.10.0-13
libarchive 3.4.0-2
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.22-1
libbluray 1.1.2-1
libbs2b 3.1.0-6
libbsd 0.9.1-1
libbytesize 2.0-1
libcaca 0.99.beta19-2
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.27-1
libcap-ng 0.7.9-1
libcdaudio 0.99.12.p2-2
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.0-2
libcdr 0.1.5-2
libcmis 0.5.2-2
libconfig 1.7.2-1
libcroco 0.6.13-1
libcups 2.2.11-2
libcurl-compat 7.65.1-1
libcurl-gnutls 7.65.1-2
libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-glib 16.04.0-3
libdbusmenu-gtk2 16.04.0-3
libdc1394 2.2.6-1
libdca 0.0.6-1
libde265 1.0.3-1
libdmx 1.1.4-1
libdrm 2.4.99-1
libdv 1.0.0-7
libdvbpsi 1:1.3.2-1
libdvdnav 6.0.0-1
libdvdread 6.0.1-1
libe-book 0.1.3-5
libebml 1.3.9-1
libedit 20190324_3.1-1
libelf 0.176-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.9-1
libev 4.27-1
libevdev 1.7.0-1
libevent 2.1.10-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfbclient 3.0.4.33054-1
libfdk-aac 2.0.0-1
libffi 3.2.1-3
libfontenc 1.1.4-1
libfreehand 0.1.2-2
libftdi 1.4-2
libgcrypt 1.8.4-1
libgcrypt15 1.5.6-2
libgdiplus 5.6.1-2
libglade 2.6.4-6
libglvnd 1.1.1-1
libgme 0.6.2-1
libgnome-keyring 3.12.0+11+g3766bcc-1
libgpg-error 1.36-1
libgudev 232-1
libgusb 0.3.0-1
libgxps 0.3.1-1
libibus 1.5.20-2
libical 3.0.4-3
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn11 1.33-1
libidn2 2.2.0-1
libiec61883 1.2.0-5
libindicator-gtk2 12.10.1-8
libinput 1.13.4-1
libixion 0.14.1-2
libjpeg-turbo 2.0.2-1
libjpeg6-turbo 1.5.3-1
libkate 0.4.1-6
libksba 1.3.5-1
liblangtag 0.6.2-2
libldap 2.4.47-3
liblqr 0.4.2-2
liblrdf 0.6.1-2
libmad 0.15.1b-8
libmatroska 1.5.2-1
libmaxminddb 1.3.2-1
libmediainfo 19.04-1
libmikmod 3.3.11.1-2
libmm-glib 1.10.4-1
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmp4v2 2.0.0-5
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-2
libmpdclient 2.16-1
libmpeg2 0.5.1-6
libmspub 0.1.4-5
libmtp 1.1.16-1
libmusicbrainz5 5.1.0-3
libmwaw 0.3.15-1
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-1
libnfnetlink 1.0.1-3
libnfs 4.0.0-3
libnftnl 1.1.3-1
libnghttp2 1.36.0-1
libnice 0.1.16-1
libnl 3.4.0-1
libnm 1.18.0-1
libnm-glib 1.18.0-1
libnma 1.8.22-1
libnotify 0.7.8-1
libnsl 1.2.0-1
libnumbertext 1.0.5-1
libodfgen 0.1.7-1
libofa 0.9.3-8
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.14.1-2
libpagemaker 0.0.4-1
libpaper 1.1.24-11
libpcap 1.9.0-1
libpciaccess 0.15-1
libpgm 5.2.122-3
libpipeline 1.5.1-1
libpng 1.6.37-1
libpng12 1.2.59-1
libproxy 0.4.15-10
libpsl 0.21.0-1
libpulse 12.2-2
libpwquality 1.4.0-2
libqxp 0.0.2-2
libraqm 0.7.0-1
libraw1394 2.1.2-2
librdkafka-git r3073.384565a6-1
libreoffice-fresh 6.2.5-1
librevenge 0.0.4-2
librsvg 2:2.44.14+1+g17bb3cd6-1
librtmp0 2.4-4
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libsass 3.5.5-2
libseccomp 2.4.1-2
libsecret 0.18.8-2
libshout 1:2.4.3-1
libsidplay 1.36.59-9
libsigc++ 2.10.2-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.18-1
libsoup 2.66.2+4+g716acf96-1
libsoxr 0.1.3-1
libspectre 0.2.8-2
libspeechd 0.9.1-1
libspotify 12.1.51-7
libsrtp 1:2.2.0-1
libssh 0.9.0-1
libssh2 1.8.2-1
libstaroffice 0.0.6-1
libstemmer 0+337-3
libsynctex 2019.51075-2
libtar 1.2.20-4
libtasn1 4.13-1
libteam 1.29-1
libtermkey 0.22-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtiff4 3.9.7-4
libtiger 0.3.4-5
libtirpc 1.1.4-1
libtommath 1.1.0-1
libtool 2.4.6+42+gb88cebd5-4
libudev0-shim 1-3
libunibreak 4.2-1
libunistring 0.9.10-1
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.22-1
libusb-compat 0.1.5-2
libutempter 1.1.6-3
libutf8proc 2.4.0-1
libutil-linux 2.34-3
libuv 1.30.1-1
libva 2.5.0-1
libva1 1.8.3-2
libvdpau 1.2-1
libvisio 0.1.6-6
libvisual 0.4.0-7
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.8.0-1
libvpx1.3 1.3.0-2
libvterm 0.1.git3.7a3913a-1
libwacom 0.33-1
libwbclient 4.10.6-1
libwebp 1.0.3-1
libwpd 0.10.3-1
libwpg 0.3.3-1
libwps 0.4.10-1
libwrap 7.6.24-4
libx11 1.6.8-1
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfce4ui 4.13.6-1
libxfce4util 4.13.4-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxml2 2.9.9-2
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.11-1
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libzen 0.4.37-2
libzmf 0.0.2-6
licenses 20181104-1
lightscreen 2.4-5
linux 5.2.arch2-1
linux-api-headers 5.1-1
linux-firmware 20190628.70e4394-1
lirc 1:0.10.1-2
livestreamer 1.12.2-3
llvm-libs 8.0.0-2
lm_sensors 3.5.0-1
lmdb 0.9.23-1
logrotate 3.15.0-1
lpsolve 5.5.2.5-3
lsb-release 1.4-15
lua 5.3.5-2
lua-lgi 0.9.2-1
lua-oocairo-git 2015.07.14.gc0b15cd-1
lua51 5.1.5-8
lua52 5.2.4-4
luajit 2.0.5-2
lvm2 2.02.185-1
lxappearance 0.6.3-2
lxrandr 0.3.2-1
lynx 2.8.9-2
lz4 1:1.9.1-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.5-2
man-pages 5.01-1
mariadb-libs 10.4.6-1
mathjax 2.7.5-1
maven 3.6.1-1
mbrowse 0.4.3-3
mdadm 4.1-1
mediainfo 19.04-1
megatools 1.10.2-1
mesa 19.1.2-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-2
mkinitcpio-busybox 1.30.1-1
mlocate 0.26.git.20170220-1
mobile-broadband-provider-info 20190116-1
mongodb 4.0.4-1
mono 5.20.1.19-1
mono-addins 1.3.3-2
mopidy 2.2.3-1
mopidy-spotify 3.1.0-1
mopidy-spotify-web 0.3.0-1
moreutils 0.63-1
mozilla-common 1.4-5
mpc 0.32-1
mpd 0.21.11-1
mpdecimal 2.4.2-2
mpfr 4.0.2-1
mpg123 1.25.10-1
mplayer 38139-1
mpv 1:0.29.1-6
msgpack-c 3.2.0-1
mtdev 1.1.5-2
nano 4.3-1
ncmpcpp 0.8.2-8
ncurses 6.1-6
ndctl 65-1
neon 0.30.2-3
neovim 0.3.8-1
nerd-fonts-complete 2.0.0-5
net-snmp 5.8-4
net-tools 1.60.20181103git-1
netctl 1.20-1
nettle 3.5.1-1
network-manager-applet 1.8.22-1
networkmanager 1.18.0-1
networkmanager-openconnect 1.2.5dev+110+g524a2e0-2
nload 0.7.4-5
nm-connection-editor 1.8.22-1
node-gyp 5.0.2-1
nodejs 11.15.0-1
noto-fonts 20190111-2
noto-fonts-emoji 20180810-2
npm 6.10.1-1
npth 1.6-1
nspr 4.21-1
nss 3.45-1
ntfs-3g 2017.3.23-3
ocl-icd 2.2.12-3
oniguruma 6.9.2-1
openal 1.19.1-2
openconnect 1:8.03-1
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.1-1
openresolv 3.9.0-2
openssh 8.0p1-1
openssl 1.1.1.c-1
openssl-1.0 1.0.2.s-1
opus 1.3.1-1
opusfile 0.11-1
oracle-xe 11.2.0_1.0-4
orc 0.4.29-1
otf-fira-sans 1:4.301-1
p11-kit 0.23.16.1-1
p7zip 16.02-5
package-query 1.9-3
pacman 5.1.3-1
pacman-mirrorlist 20190614-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.43.0-2
pangomm 2.42.0-1
parallel 20190422-1
parcellite 1.2.1-3
parted 3.2-9
patch 2.7.6-7
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcmciautils 018-8
pcre 8.43-1
pcre2 10.33-1
pcsclite 1.8.25-1
perl 5.30.0-3
perl-error 0.17027-2
perl-io-tty 1.12-9
perl-ipc-run 20180523.0-1
perl-mailtools 2.21-2
perl-time-duration 1:1.20-3
perl-timedate 2.30-6
perl-uri 1.76-2
perl-xml-parser 2.44-9
pgadmin3 1.22.2-7
pgadmin4 4.10-1
phantomjs 2.1.1-9
phonon-qt4 4.10.2-5
phonon-qt4-vlc 0.10.2-1
pinentry 1.1.0-4
pinta 1.6-4
pipewire 0.2.6+1+g37613b67-1
pixman 0.38.4-1
pkgconf 1.6.1-1
playerctl 2.0.2-2
polkit 0.116-2
polybar-git 3.3.0.r0.gc3ef99b7-1
poppler 0.78.0-1
poppler-data 0.4.9-1
poppler-glib 0.78.0-1
popt 1.16-10
portaudio 1:19.6.0-5
postgresql 11.4-1
postgresql-libs 11.4-1
powerline-fonts-git r178.641d35f-1
ppp 2.4.7-5
procps-ng 3.3.15-1
protobuf 3.7.0-1
psmisc 23.2-1
ptpython 2.0.4-3
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pwgen 2.08-1
pygobject-devel 3.32.2-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.13.0-1
python 3.7.3-2
python-alembic 1.0.7-1
python-apipkg 1.5-1
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
